hydroID,hydroCode,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std,gw_level_mean_Neil,gw_level_std_Neil,diff
30158445,573900036,134.497499,-29.068923,-722063.2906,6718930.233,53,174.5956166,63.25,54.25,0,54.25,,0
30083029,584300018,134.619205,-27.118992,-732693.2498,6939047.801,53,197.61176,65.53,54.2125,0.623513232,54.2125,0.719971064,0
30120491,584300001,134.618749,-27.119515,-732733.1884,6938984.49,53,197.65844,60.96,54.105,0.708713623,54.105,0.818352003,0
30098571,584200019,134.603931,-27.900579,-725318.1847,6851149.296,53,189.1726098,108,53.4,0,53.4,,0
30149652,603600102,135.70491,-30.597496,-586196.6095,6560059.49,53,153.9430716,56.08,53.34,0,53.34,,0
30150443,563700116,133.816481,-30.334997,-772728.3941,6569307.244,53,159.5044961,57.61,53.34,0,53.34,,0
30189955,603600103,135.70491,-30.597496,-586196.6095,6560059.49,53,153.9430716,56.39,53.34,0,53.34,,0
30115986,593700066,135.270123,-30.13729,-633692.8248,6607216.849,53,183.112588,56.4,53.2,0,53.2,,0
30144334,593700021,135.243195,-30.147712,-636191.5086,6605776.326,53,184.3166,55.47,53.19,0,53.19,,0
30135682,704200025,140.9913201,-27.977834,-91520.88201,6890666.035,54,89.978652,197,53,0,53,0,0
30164413,574000036,134.3049,-28.99418,-741967.5971,6725256.961,53,182.1892224,54.25,53,0,53,,0
30139958,593800062,135.025034,-29.530076,-664728.9738,6672730.123,53,179.2723548,71,53,0,53,,0
30186948,574000035,134.1313909,-28.986413,-759188.9459,6724245.572,53,189.7538525,60.96,54.86,7.11E-15,52.895,3.93,1.965
